店铺名称,评论用户,用户id,评分,评论内容,评论时间,下单时间,处理时间,配送时间,配送评分,评论类型,评论id,图片数量,图片链接,标签,商家回复
乐凯撒披萨,uQz309825795,757952691,5,包装完好无损，配送快，餐品实惠,1760112000,1760112000,1760175626,4,0,4,9177893391,1,http://p0.meituan.net/wmcomment/3516ede57ad4fe8cebab07c868c4618b112670.jpg',,尊敬的顾客您好，谢谢您的点评，感谢您帮我们提升服务。您的认可和鼓励是我们继续努力的动力和方向。乐凯撒等您再来，祝您生活愉快，万事顺意~
乐凯撒披萨,匿名用户,0,5,到店吃效果更好，棒,1760198400,1760198400,1760242226,43,0,4,9179930582,0,,,尊敬的顾客您好，谢谢您的点评，感谢您帮我们提升服务。您的认可和鼓励是我们继续努力的动力和方向。乐凯撒等您再来，祝您生活愉快，万事顺意~
乐凯撒披萨,国民小小鱼,361790175,5,公司团建，同事们都超级喜欢??之前到店吃的，品质还是一如即往，希望继续努力保持,1760112000,1760112000,1760183659,2,0,4,9178415533,1,http://p0.meituan.net/wmcomment/8e418b1b5d53eadf99e0a28eaf941d80251022.jpg',,尊敬的顾客您好，谢谢您的点评，感谢您帮我们提升服务。您的认可和鼓励是我们继续努力的动力和方向。乐凯撒等您再来，祝您生活愉快，万事顺意~
乐凯撒披萨,明仲123,322530839,5,#乐多多小吃拼盘#配送速度很快，口感很好，肉质鲜嫩,1749312000,1749312000,1749380686,4,0,4,8760198079,0,,,尊敬的顾客您好，谢谢您的点评，感谢您帮我们提升服务。您的认可和鼓励是我们继续努力的动力和方向。乐凯撒等您再来，祝您生活愉快，万事顺意~
乐凯撒披萨,Bng456783291,1926838353,5,#【爆款榴莲】超满足一人食（巴掌大的披萨）#太满足啦！！,1753718400,1753718400,1753785271,40,0,4,8941246446,0,,,尊敬的顾客您好，谢谢您的点评，感谢您帮我们提升服务。您的认可和鼓励是我们继续努力的动力和方向。乐凯撒等您再来，祝您生活愉快，万事顺意~
乐凯撒披萨,tsingyi青衣,68096716,4,谁家披萨是这么做的。。。,1748534400,1748534400,1748577293,37,0,4,8730810533,1,http://p0.meituan.net/wmcomment/aa999973819567420ded54d1c81ad4b42965483.jpg',,尊敬的顾客您好，谢谢您的点评，感谢您帮我们提升服务。您的认可和鼓励是我们继续努力的动力和方向。乐凯撒等您再来，祝您生活愉快，万事顺意~
乐凯撒披萨,qWd18948330909,44231409,4,披萨馅料都滑到一边去了。,1752595200,1752595200,1752641789,38,0,4,8892956066,1,http://p0.meituan.net/wmcomment/321fa35666c2e446ce128493c5354aa61025552.jpg',提前点送达',尊敬的顾客您好，谢谢您的点评，感谢您帮我们提升服务。您的认可和鼓励是我们继续努力的动力和方向。乐凯撒等您再来，祝您生活愉快，万事顺意~
乐凯撒披萨,匿名用户,0,5,每周都会光顾的宝藏店，榴莲披萨YYDS，没有之一只有唯一，同事们都关注了，今天都在说好吃，让我也是很自豪啊,1760112000,1760112000,1760183788,4,0,4,9178423123,0,,,尊敬的顾客您好，谢谢您的点评，感谢您帮我们提升服务。您的认可和鼓励是我们继续努力的动力和方向。乐凯撒等您再来，祝您生活愉快，万事顺意~
乐凯撒披萨,匿名用户,0,2,骑手送得很快。披萨不好吃，拉丁肠缩水了，以前很长一串的，不会再吃了。,1761494400,1761494400,1761563057,40,0,4,9225347502,0,,,感谢您的反馈，我们非常抱歉您对披萨的体验感到失望。对于骑手快速配送，我们感到欣慰。我们正在努力改进拉丁肠的制作，确保每一份都保持一致的品质。希望有机会能弥补这次的不愉快，欢迎您再次尝试我们的产品。
乐凯撒披萨,匿名用户,0,2,打开盖子，这个样子，全团成一坨，怎么吃………,1761321600,1761321600,1761397771,35,0,4,9219804125,1,http://p0.meituan.net/wmcomment/5f3062058292b2b191bd0d00ab3f3ef5186116.jpg',其他',非常抱歉给您带来了不愉快的体验，我们对此深感歉意。对于食物团成一坨的情况，我们会立即调查并确保此类问题不再发生。感谢您的反馈，您的满意是我们最大的追求。
