店铺名称,评论用户,用户id,评分,评论内容,评论时间,下单时间,处理时间,配送时间,配送评分,评论类型,评论id,图片数量,图片链接,标签,商家回复
桃爷·新疆炒米粉,匿名用户,0,5,特别好吃，不能吃辣的朋友可以让老板只放微辣的四分之一辣，亲测过好几次，这个辣度对不能吃辣的人非常友好,1761062400,1761062400,1761097578,59,0,4,9208795993,0,,,
桃爷·新疆炒米粉,RIs930812622,2408776144,5,好吃，加了一个芹菜份量给的很足，辣度也刚刚好,1762099200,1762099200,1762146026,27,0,4,9245087403,3,"http://p0.meituan.net/wmcomment/c99463cc115d82d14ac67ea1cfc57746180330.jpg', 'http://p0.meituan.net/wmcomment/502cad03793b2561364cd3638d6fdf86180676.jpg', 'http://p0.meituan.net/wmcomment/ebbabf1e86a92698fa476d981e4dc96f190150.jpg'","仪表整洁', '风雨无阻', '快速准时', '货品完好', '礼貌热情', '穿戴工服'",
桃爷·新疆炒米粉,匿名用户,0,5,真的太好吃了！,1761926400,1761926400,1761996485,17,0,4,9240049810,1,http://p0.meituan.net/wmcomment/555e8002c6d6da3779d0e9af0bf61d2e207947.jpg',,
桃爷·新疆炒米粉,yylove827,245993674,5,挺好吃的，下次还会回购的，配菜也不错的，有点远但是没坨,1762099200,1762099200,1762144049,79,0,4,9244941672,3,"http://p0.meituan.net/wmcomment/fe6ef96c30df6ffa953208ee17ea7b4d945137.jpg', 'http://p0.meituan.net/wmcomment/64bcb9ca76d2770a587f62b6e9526d45854896.jpg', 'http://p0.meituan.net/wmcomment/92611f22437bb6d7ccc2e0e6e9c5eb2d871376.jpg'",,
桃爷·新疆炒米粉,匿名用户,0,5,好吃，以前住南山的时候经常点，搬到宝安点的少了，最近又想起这个味道点了几次味道一如既往的好吃,1761062400,1761062400,1761097672,51,0,4,9208798042,0,,,
桃爷·新疆炒米粉,温室里的狗尾草,249312114,5,一直点他家,1760716800,1760716800,1760788572,97,0,4,9199061132,0,,送达超时',
桃爷·新疆炒米粉,pkD576251252,761649741,5,他们家的分量超足，味道超级超级好吃，每隔一段时间不吃就会想念的那种，我最爱的是他们家的泡菜。,1760630400,1760630400,1760674273,57,0,4,9194375874,2,"http://p0.meituan.net/wmcomment/a68d6d87b8cfab01d09c58daa1463c5a1093574.jpg', 'http://p0.meituan.net/wmcomment/5077a99a25819e07098380200da56d851119809.jpg'",,
桃爷·新疆炒米粉,我只想多吃点饭,903973754,5,#【招牌】酱香鸡肉炒米粉#好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好好吃,1760544000,1760544000,1760582651,39,0,4,9191163360,0,,,
桃爷·新疆炒米粉,匿名用户,0,5,真爱就是搬家之后愿意付12块钱的配送费,1760198400,1760198400,1760277716,80,0,4,9182058228,2,"http://p0.meituan.net/wmcomment/f966cc9c40df5cd1e862c2021c9f2a6f171334.jpg', 'http://p0.meituan.net/wmcomment/5bff9c1f021cac2cf2cc62e69c7b23fb79751.jpg'",,
桃爷·新疆炒米粉,匿名用户,0,1,改善下吧 ,1759939200,1759939200,1760022524,33,0,4,9173294368,0,,快速准时',非常感谢您的反馈，我们一定会努力改进，希望能再次得到您的满意。
桃爷·新疆炒米粉,C?????,4131947967,5,很好吃,1761667200,1761667200,1761722926,23,0,11,9230352742,1,http://p0.meituan.net/wmcomment/347eec324b7d7998f6373a685648a5ad152757.jpg',,
