score,comment,timestamp,taste,speed,service
5,#烟笋炒肉＋木桶饭# #小碗福利 | 麻婆豆腐（限购一份）# #烟笋炒肉＋木桶饭#,2025/10/28 0:00,0.0,0.0,0.0
5,#【特色味道】香干腊肉＋木桶饭# #【特色味道】香干腊肉＋木桶饭# #可乐#味道正宗,2025/10/24 0:00,0.8,0.0,0.0
5,味道很好很好吃,2025/10/26 0:00,0.9,0.0,0.0
5,好吃,2025/10/27 0:00,0.8,0.0,0.0
5,#外婆菜回锅肉＋木桶饭# #外婆菜回锅肉＋木桶饭# #王老吉#,2025/10/24 0:00,0.0,0.0,0.0
5,好吃，好吃，已经复购第二次了,2025/10/30 0:00,0.9,0.0,0.0
5,#绝味啤酒鸭＋木桶饭#每天都点,2025/10/31 0:00,0.8,0.6,0.6
5,#土豆片排骨＋木桶饭# #土豆片排骨＋木桶饭# #王老吉#,2025/11/3 0:00,0.0,0.0,0.0
5,#毛豆炒肉＋木桶饭# #王老吉# #毛豆炒肉＋木桶饭#,2025/10/30 0:00,0.0,0.0,0.0
3,这是土豆丝？,2025/11/5 0:00,-0.6,0.0,0.0
2,米饭有点硬，肉有点少。,2025/10/26 0:00,-0.4,0.0,0.0
5,#辣子鸡丁＋木桶饭#点了微辣，鸡丁怎么连咸味都没得，好歹调下味#小碗福利 | 酸辣土豆丝（限购一份）#这是辣的，还行#店家心意 | 荷包蛋（单点不送）#荷包蛋是最好吃的，不是那种预制蛋，是不规则的流心蛋。再点来试试。,2025/10/23 0:00,-0.3,0.0,0.4
5,#咸鱼茄子＋木桶饭# #王老吉# #咸鱼茄子＋木桶饭#,2025/10/21 0:00,0.0,0.0,0.0
5,#外婆菜腊肉＋木桶饭# #王老吉# #外婆菜腊肉＋木桶饭#,2025/10/21 0:00,0.0,0.0,0.0
5,#冬菇滑鸡＋木桶饭#份量足，食材新鲜，很下饭,2025/10/20 0:00,0.8,0.0,0.0
